id,scene_theme,target,mode,title_en,title_cn,prompt,seed_terms,weight
t2v_workflow_robot_mars_seed,*,positive_prompt,replace,Robot planting on Mars,火星机器人种子,"一个穿着宇航服的小机器人，在火星的红色沙漠上，小心翼翼地种下一颗发光的种子。","火星|机器人|发光种子|小心动作",118
t2v_workflow_rainy_cat_coffee,*,positive_prompt,replace,Rainy cat and coffee,雨窗橘猫咖啡,"前景是一只打瞌睡的橘猫，背景是窗外淅淅沥沥的雨景，书桌上有一杯冒着热气的咖啡。","橘猫|雨景|咖啡热气|窗边",108
t2v_workflow_lonely_glowing_whale,*,positive_prompt,replace,Lonely glowing whale,孤独发光鲸鱼,"用视觉表现‘孤独’这个概念：一只鲸鱼在深蓝色的、寂静的海洋深处独自发光游动。","鲸鱼|深海|发光|孤独",104
t2v_workflow_elf_mushroom_magic,*,positive_prompt,replace,Elf mushroom magic,蘑菇森林精灵法术,"魔幻现实主义，一位银发精灵法师在发着幽光的蘑菇森林中施展法术。他/她的手中凝聚着一个纯净的光球，光球中有点点星尘旋转飘动。法师的长袍无风自动，周围的植物随着魔法能量微微起伏。画面以蓝色和银色为主色调，充满神秘感。","蘑菇森林|精灵法师|光球|星尘",117
t2v_workflow_apple_decay_timelapse,*,positive_prompt,replace,Apple decay timelapse,苹果腐烂延时,"一个放在木质窗台上的红苹果，随着时间推移，从新鲜饱满逐渐变得干瘪、腐烂。","苹果|延时变化|木质窗台|腐烂",103
t2v_workflow_storm_ship,*,positive_prompt,replace,Storm ship,暴风雨帆船,"电影镜头，一艘19世纪的木质帆船在滔天巨浪中剧烈颠簸。一个巨大的浪头迎面拍来，船体倾斜近45度，船员紧抓缆绳以免被甩出。闪电划破漆黑的天空，瞬间照亮了波浪的狰狞细节和船员惊恐的表情。狂风暴雨，海水泡沫飞溅。","帆船|巨浪|闪电|狂风暴雨",119
t2v_workflow_mecha_triceratops,*,positive_prompt,replace,Mecha triceratops wakes,机械三角龙苏醒,"电影镜头，一只由生锈金属和发光能量管道构成的机械三角龙，在弥漫着浓雾的废弃钢铁工厂中缓缓苏醒。它抬起头，胸腔内的核心发出强烈的脉动蓝光，低沉的咆哮声震落了头顶的铁锈灰尘。赛博朋克风格，动态模糊，充满细节。","机械三角龙|钢铁工厂|蓝光核心|苏醒",119
t2v_workflow_qipao_rain_closeup,*,positive_prompt,replace,Qipao rain close-up,雨巷旗袍特写,"特写镜头聚焦于一位穿旗袍的女子。细雨黄昏，油纸伞下是她精致的半身像。伞沿坠落的雨珠串成帘幕，背景里昏红的灯笼光晕柔和地渲染开来，映亮她若有所思的侧脸与湿润的空气。她的手指正轻抚过古老墙壁上斑驳的雨痕，眼神温柔而怅惘。画面色调柔和，充满油画般的质感，仿佛时光与回忆在此刻交织。","旗袍|细雨|油纸伞|灯笼光",116
t2v_workflow_microscopic_waterdrop,*,positive_prompt,replace,Microscopic waterdrop,显微水滴生态,"显微镜视角，一滴水珠在翠绿的荷叶上滚动。水滴内部，无数微小的浮游生物（如草履虫、水蚤）在激烈地游动、碰撞。背景是虚化的荷叶纹理和折射的阳光光斑，镜头缓慢推进水滴中心。超现实主义，高细节。","显微镜|水滴|浮游生物|镜头推进",113
t2v_workflow_rotating_gravity_kitchen,*,positive_prompt,replace,Rotating gravity kitchen,重力旋转厨房,"在一个普通的现代厨房中，重力方向突然开始随机旋转。锅碗瓢盆、水果、刀具在房间里漂浮、碰撞，沿着墙壁、天花板滚动。一个打碎的鸡蛋，蛋液和蛋黄在空气中形成漂浮的球体。所有运动都符合新的、不断变化的重力逻辑。","厨房|重力旋转|漂浮物体|鸡蛋液体",115
