name,prompt,negative_prompt
None,,
基础起手式,"masterpiece, best quality, ","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry"
画质01,"masterpiece,best quality,highly detailed,Amazing,finely detail,extremely detailed CG unity 8k wallpaper,score:>=60,","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,((nsfw)),nsfw, owres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, 
blurry,missing fingers,bad hands,missing arms, long neck, Humpbacked"
摄影画质01,"1girl,solo,,bestquality,ultrahighres,(photorealistic:1.4),masterpiece,highres,original,extremely detailed wallpaper， <lora:大概是个汉服_汉元素:0.63>","watermark,logo,,paintings,sketches,(worstquality:2),(lowquality:2),(normalquality:2),lowres,normalquality,((monochrome)),((grayscale)),skinspots,acnes,skinblemishes,agespot,(outdoor:1.6),glans,badanatomy,badhands,text,error,missingfingers,extradigit,fewerdigits,cropped,worstquality,lowquality,jpegartifacts,signature,watermark,username,blurry,badfeet,extralimbs"
汉服照01,"1girl,solo,hanfu ,bestquality,ultrahighres,(photorealistic:1.4),masterpiece,highres,original,extremely detailed wallpaper，, hanfu,  upper shan ， purple with white ，in the dark evening,small moon in the sky of farther distance, <lora:汉服唐风_v3.5:0.65>,looking the viewer","watermark,logo,,paintings,sketches,(worstquality:2),(lowquality:2),(normalquality:2),lowres,normalquality,((monochrome)),((grayscale)),skinspots,acnes,skinblemishes,agespot,(outdoor:1.6),glans,badanatomy,badhands,text,error,missingfingers,extradigit,fewerdigits,cropped,worstquality,lowquality,jpegartifacts,signature,watermark,username,blurry,badfeet,extralimbs"
"1boy,handsome蓝调","1boy,handsome,solo,hanfu ,bestquality,ultrahighres,(photorealistic:1.4),masterpiece,highres,original,extremely detailed wallpaper，, hanfu,  upper shan ， purple with white ，in the dark evening,small moon in the sky of farther distance, <lora:汉服唐风_v3.5:0.65>,looking the viewer","watermark,logo,,paintings,sketches,(worstquality:2),(lowquality:2),(normalquality:2),lowres,normalquality,((monochrome)),((grayscale)),skinspots,acnes,skinblemishes,agespot,(outdoor:1.6),glans,badanatomy,badhands,text,error,missingfingers,extradigit,fewerdigits,cropped,worstquality,lowquality,jpegartifacts,signature,watermark,username,blurry,badfeet,extralimbs"
真人画质01,"1girl,solo ,bestquality,ultrahighres,(photorealistic:1.4),masterpiece,highres,original,extremely detailed wallpaper，in the dark evening,small moon in the sky of farther distance,there is a fog over the river nearby, <lora:汉服唐风_v3.5:0.65>,looking at the viewer,Close-up , full body1:2 ,red lips <lora:more_details(细节调整):0.55> <lyco:locon_perfecteyes_v1_from_v1_64_32:0..5>","watermark,logo,,paintings,sketches,(worstquality:2),(lowquality:2),(normalquality:2),lowres,normalquality,((monochrome)),((grayscale)),skinspots,acnes,skinblemishes,agespot,(outdoor:1.6),glans,badanatomy,badhands,text,error,missingfingers,extradigit,fewerdigits,cropped,worstquality,lowquality,jpegartifacts,signature,watermark,username,blurry,badfeet,extralimbs， badhandv4， EasyNegative， Fixhand"
标准画质，广泛用于二次元（也可它用）,"(masterpiece:1,2), best quality, masterpiece, highres, original, extremely detailed wallpaper, perfect lighting,(extremely detailed CG:1.2), drawing, paintbrush","NSFW, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs)))"
汉服01,",(photorealistic:1),masterpiece,best quality,highly detailed,Amazing,finely detail,extremely detailed CG unity 8k wallpaper,1 girl,(upper body:1.2),close-up,hanfu,looks at the viewers","lowres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,((nsfw)),nsfw,owres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing fingers,bad hands,missing arms,long neck,Humpbacked,"
民国风01,",masterpiece,(best quality:1.3),ultra high res,raw photo,detailed skin,beautiful lighting,(realistic, photo-realistic:1.4),1 girl, she is tall and slender,beautiful curve,graceful posture,[she has long, shiny black hair],usually combed into a simple and elegant hairstyle,embellished with a small and delicate flower,clear lines of facial features,white and delicate skin,she has 1 big, bright eyes,the flow of eyes reveals intelligence and gentleness,slender eyebrows slightly raised,her lips are ruddy and plump,slightly upturned,with a charming smile,she wears a white short-sleeved mountain,wearing a light blue skirt,she had a thread-binding book in her hand,the cover of the book is blue,  student_woman, <lora:OldSchoolV1.1:0.8>","bad-hands-5, EasyNegative,, watermark,logo,,paintings,sketches,(worstquality:2),(lowquality:2),(normalquality:2),lowres,normalquality,((monochrome)),((grayscale)),skinspots,acnes,skinblemishes,agespot,outdoor:1.6),glans,badanatomy,badhands,text,error,missingfingers,extradigit,fewerdigits,cropped,worstquality,lowquality,jpegartifacts,signature,watermark,username,blurry,badfeet,extralimbs，Fixhand"
