trigger_tag,trigger_canonical,related_tag,related_canonical,slot,support,trigger_lines,related_lines,total_lines,confidence,reverse_confidence,lift,pmi,score,safety_bin,safety_class,related_group,related_subgroup,related_source,expected_support,negative_score
closed mouth,closed_mouth,open mouth,open_mouth,expression,438,36423,16369,82771,0.012025,0.026758,0.060807,-4.039616,0.008061,sfw,clean,人物,嘴巴,weilin_tagcart.csv,7203.103587,6353.737107
open mouth,open_mouth,closed mouth,closed_mouth,expression,438,16369,36423,82771,0.026758,0.012025,0.060807,-4.039616,0.008061,sfw,clean,人物,嘴巴,weilin_tagcart.csv,7203.103587,6353.737107
indoors,indoors,outdoors,outdoors,scene,123,22178,18986,82771,0.005546,0.006478,0.024178,-5.370138,0.002568,sfw,clean,环境,大自然,weilin_tagcart.csv,5087.18643,4844.160373
outdoors,outdoors,indoors,indoors,scene,123,18986,22178,82771,0.006478,0.005546,0.024178,-5.370138,0.002568,sfw,clean,场景,室内,danbooru_all.csv,5087.18643,4844.160373
sitting,sitting,standing,standing,pose_action,86,23487,17010,82771,0.003662,0.005056,0.017817,-5.810568,0.001766,sfw,clean,表情动作,基础动作,weilin_tagcart.csv,4826.737263,4656.269561
standing,standing,sitting,sitting,pose_action,86,17010,23487,82771,0.005056,0.003662,0.017817,-5.810568,0.001766,sfw,clean,表情动作,腿部动作,weilin_tagcart.csv,4826.737263,4656.269561
dress,dress,shirt,shirt,clothing,1381,19748,25288,82771,0.069931,0.054611,0.228894,-2.127249,0.050315,sfw,clean,服饰,上衣,weilin_tagcart.csv,6033.362216,3587.464736
shirt,shirt,dress,dress,clothing,1381,25288,19748,82771,0.054611,0.069931,0.228894,-2.127249,0.039292,sfw,clean,服饰,裙子,weilin_tagcart.csv,6033.362216,3587.464736
cowboy shot,cowboy_shot,sitting,sitting,pose_action,342,14462,23487,82771,0.023648,0.014561,0.083339,-3.584864,0.010611,sfw,clean,表情动作,腿部动作,weilin_tagcart.csv,4103.719829,3448.221775
sitting,sitting,cowboy shot,cowboy_shot,camera,342,23487,14462,82771,0.014561,0.023648,0.083339,-3.584864,0.010611,sfw,clean,镜头,镜头,weilin_tagcart.csv,4103.719829,3448.221775
sitting,sitting,upper body,upper_body,camera,314,23487,12256,82771,0.013369,0.02562,0.090288,-3.469317,0.011334,sfw,clean,镜头,镜头,weilin_tagcart.csv,3477.747907,2878.098438
upper body,upper_body,sitting,sitting,pose_action,314,12256,23487,82771,0.02562,0.013369,0.090288,-3.469317,0.011334,sfw,clean,表情动作,腿部动作,weilin_tagcart.csv,3477.747907,2878.098438
dress,dress,white shirt,white_shirt,clothing,900,19748,18028,82771,0.045574,0.049922,0.209243,-2.256752,0.030958,sfw,clean,服饰,上衣,weilin_tagcart.csv,4301.228015,2689.546327
