id,scene_theme,target,mode,title_en,title_cn,prompt,seed_terms,weight
edit_precise_text_replace,*,positive_prompt,replace,Precise text replacement,精准文字替换,"只修改图中指定文字为用户提供的新内容，保留原字体风格、排版位置、材质、透视、阴影和光照，其余人物、物体和背景保持不变。","文字替换|字体保持|排版保持|背景不变",140
edit_packaging_logo_text,*,positive_prompt,replace,Packaging and logo text,包装标识文字,"修改包装、招牌、海报或屏幕上的指定文字和标识，让新内容清晰可读，匹配原图材质、印刷质感、透视和反光。","包装|标识|招牌|文字清晰",132
edit_object_remove_repair,*,positive_prompt,replace,Object removal and repair,移除物体并修复,"移除用户指定的物体，用符合原图透视、纹理、光照和遮挡关系的背景自然填充空缺区域，保留周围阴影和画面风格。","物体移除|背景修复|光照一致|遮挡关系",130
edit_object_replace_consistent,*,positive_prompt,replace,Consistent object replacement,一致物体替换,"将指定物体替换为用户描述的新物体，新物体需要匹配原图视角、比例、材质、接触阴影和环境光，不改变其他主体。","物体替换|比例一致|材质匹配|接触阴影",126
edit_object_insert_ads,*,positive_prompt,replace,Object or ad insertion,物体广告插入,"将指定商品、道具、标识或广告物料自然插入画面，匹配场景透视、遮挡关系、接触阴影、反光和环境光，不破坏原有主体。","物体插入|广告插入|商品融合|环境光",122
edit_background_replace_subject_lock,*,positive_prompt,replace,Background replacement with subject lock,换背景保持主体,"更换背景为用户描述的新环境，保持主体身份、姿态、服装、发型和轮廓不变，让新背景的光线方向、色温和景深与主体自然融合。","换背景|主体保持|光线融合|景深",120
edit_reference_scene_composite,*,positive_prompt,replace,Reference scene composite,参考场景合成,"将图1中的主体自然放入图2的场景中，保持图1主体身份、服装和关键细节，匹配图2场景的透视、光照、色温、景深和接触阴影。","图1主体|图2场景|场景合成|光照匹配",119
edit_reference_product_composite,*,positive_prompt,replace,Reference product composite,参考商品合成,"让图1中的人物自然展示或使用图2中的商品，保持人物身份和商品外观一致，匹配手部接触、比例、材质、反光、阴影和环境光。","人物商品|多图参考|商品一致|手部接触",118
edit_reference_person_composite,*,positive_prompt,replace,Reference person composite,参考人物合成,"将图1和图2中的人物组合到同一画面，保持两个人物的身份、发型、服装和比例一致，统一场景光照、镜头视角和画面风格。","人物合成|身份保持|多图参考|画风统一",117
edit_multi_person_group_photo,*,positive_prompt,replace,Multi-person group photo,多人合影一致性,"将多张参考人物图合成为一张自然合影，保持每个人的身份、脸部特征、发型、服装和身高比例一致，统一光照、镜头视角和场景氛围。","多人合影|身份一致|群像|光照统一",117
edit_two_reference_character_interaction,*,positive_prompt,replace,Two-reference character interaction,双参考角色互动,"让图1中的角色和图2中的角色出现在同一场景中并产生自然互动，保持两个角色身份和服装一致，安排合理站位、视线方向、动作关系和场景光照。","双参考|角色互动|站位|视线",117
edit_scene_season_time_change,*,positive_prompt,replace,Season or time change,季节时间变化,"把场景调整为用户指定的季节、天气或时间段，保持主体和构图不变，让光线、色温、地面反射、天空和环境细节自然一致。","季节|天气|时间|环境一致",116
edit_controlnet_pose_reference,*,positive_prompt,replace,Pose reference from image 2,参考图姿态,"让图1的角色摆出图2的姿势，保持图1角色身份、脸部特征、发型、服装和画风一致，参考图2的人体姿态、肢体角度、手势和身体朝向。","图1角色|图2姿势|姿态迁移|身份一致",115
edit_controlnet_keypoint_map,*,positive_prompt,replace,Keypoint map control,关键点图控制,"使用图2的关键点图或骨架图控制图1人物姿态，保持图1人物身份、服装和画面风格，肢体比例自然，手脚位置清晰。","关键点图|骨架图|姿态控制|肢体比例",115
edit_pose_position_action,*,positive_prompt,replace,Pose position action,姿态位置动作,"根据用户要求调整主体动作、手势、站位或画面位置，让姿态自然可信，同时保持主体身份、服装、背景、镜头视角和图像质感一致。","动作调整|位置调整|姿态自然|身份保持",114
edit_controlnet_depth_map,*,positive_prompt,replace,Depth map control,深度图结构控制,"以图2的深度图作为空间结构参考，重绘图1主体或场景，保持主要身份和风格，同时遵循深度层次、前后关系、体积感和镜头视角。","深度图|空间结构|前后关系|体积感",113
edit_controlnet_edge_map,*,positive_prompt,replace,Edge map control,边缘图轮廓控制,"以图2的边缘图、线稿或轮廓图作为结构控制，生成或编辑图1画面，保持主体身份和风格一致，严格参考轮廓、边缘和主要形状。","边缘图|线稿|轮廓控制|形状保持",113
edit_expression_gaze,*,positive_prompt,replace,Expression and gaze,表情视线调整,"调整人物表情、视线方向或头部朝向，保持五官身份、发型、服装、场景光线和背景不变，表情过渡自然。","表情|视线|头部朝向|身份保持",112
edit_identity_preserving_imagination,*,positive_prompt,replace,Identity-preserving creative edit,身份保持创意编辑,"基于输入人物进行创意改造，可以改变服装、环境、职业或故事氛围，但必须保持人物身份、脸部特征、发型轮廓、年龄感和主要视觉特征一致。","创意编辑|身份保持|人物一致|故事氛围",112
edit_clothing_color_material,*,positive_prompt,replace,Clothing color material,服装颜色材质,"修改服装款式、颜色或材质，保持人物身份、姿态、身体比例和背景不变，让布料褶皱、纹理、边缘和受光自然匹配。","服装|颜色|材质|褶皱",110
edit_virtual_try_on_reference,*,positive_prompt,replace,Virtual try-on from reference,参考服装试穿,"让图1的人物穿上图2中的服装，保持图1人物身份、脸部、发型和身体比例，保留图2服装版型、颜色、材质、纹理、装饰和层次。","虚拟试衣|图2服装|人物保持|服装一致",110
edit_clothing_extract_white_bg,*,positive_prompt,replace,Clothing extraction white background,服装白底提取,"从参考图中提取服装并生成白底单品图，不包含人体、模特、场景和杂乱背景，保留服装版型、颜色、材质、纹理、褶皱、装饰和边缘细节。","服装提取|白底图|单品图|材质纹理",109
edit_product_cleanup,*,positive_prompt,replace,Product cleanup,产品清理,"清理商品表面的污渍、划痕、多余反光和杂乱背景，保持商品形状、标识、材质和真实比例，边缘干净。","商品修图|污渍清理|标识保持|材质保持",108
edit_product_poster_reference,*,positive_prompt,replace,Product poster from references,参考商品海报,"以图1商品为主体，参考图2的场景、风格或配色生成商品海报，保持商品标识、形状、材质和比例一致，画面适合商业展示。","商品海报|参考场景|品牌保持|商业展示",107
edit_portrait_retouch_natural,*,positive_prompt,replace,Natural portrait retouch,自然人像精修,"自然修饰皮肤、发丝、眼神和面部光影，保持人物身份、年龄特征、五官结构和真实质感，避免磨皮过度或改变脸型。","人像精修|皮肤|发丝|身份保持",106
edit_lighting_enhancement_realistic,*,positive_prompt,replace,Realistic lighting enhancement,真实光照增强,"增强画面真实光照效果，调整主光、辅光、边缘光、阴影层次和高光反射，保持主体身份、材质、构图和场景内容不变。","光照增强|真实光线|阴影层次|高光反射",106
