id,scene_theme,target,mode,title_en,title_cn,prompt,seed_terms,weight
i2v_portrait_subtle_turn,*,positive_prompt,replace,Portrait subtle turn,人像轻微转身,"保持输入图像中的人物身份、服装、发型和构图一致，人物缓慢转头看向镜头，眼神自然变化，头发和衣料有轻微真实运动，背景保持稳定。","人像|转头|身份保持|轻微运动",130
i2v_portrait_emotion_shift,*,positive_prompt,replace,Portrait emotion shift,人像情绪变化,"保持输入人像的身份、五官比例和光线一致，人物表情从平静逐渐变成微笑或思考，肩部和呼吸有细小自然动作，镜头固定。","人像|表情变化|呼吸|镜头固定",128
i2v_fashion_walk,*,positive_prompt,replace,Fashion walk,服装走秀,"保持参考人物和服装款式一致，人物向前走两步并轻微转身展示服装，布料随步伐自然摆动，镜头缓慢后退，背景和光线不跳变。","服装|走秀|布料运动|镜头后退",126
i2v_product_turntable,*,positive_prompt,replace,Product turntable,商品旋转展示,"保持输入商品的品牌、形状、材质和文字清晰，商品在展示台上缓慢旋转，镜头轻微推进，金属、玻璃或塑料表面出现真实高光变化。","商品|旋转展示|材质高光|品牌清晰",126
i2v_food_steam_pour,*,positive_prompt,replace,Food steam and pour,美食热气浇淋,"保持输入食物的摆盘和食材结构稳定，热气缓慢升起，酱汁或汤汁从画面上方自然浇下，食物表面出现湿润高光，镜头近景固定。","美食|热气|酱汁|近景",124
i2v_first_last_transition,*,positive_prompt,replace,First-last transition,首尾帧过渡,"如果提供尾帧，让画面从首帧自然过渡到尾帧，主体身份、构图方向和风格保持一致，中间动作连贯，避免突然变形或无关内容出现。","首尾帧|自然过渡|身份保持|连贯动作",124
i2v_pet_playful,*,positive_prompt,replace,Pet playful motion,宠物自然互动,"保持输入宠物的外形、毛色和场景一致，宠物抬头、眨眼或轻轻移动爪子，尾巴或耳朵有自然小动作，镜头稳定，背景不漂移。","宠物|眨眼|尾巴耳朵|背景稳定",122
i2v_vehicle_rollout,*,positive_prompt,replace,Vehicle rollout,车辆启动展示,"保持输入车辆外观、车漆颜色和环境透视一致，车灯依次亮起，车辆缓慢向前滑动一小段，镜头低角度轻微跟随，车身反光自然流动。","车辆|车灯|低角度|反光",122
i2v_landscape_clouds,*,positive_prompt,replace,Landscape parallax,风景云影视差,"保持输入风景的构图和色调一致，云层缓慢移动，树叶或草地被风轻轻吹动，镜头极慢推进，前景与远景形成柔和视差。","风景|云层|风吹草木|视差",121
i2v_rain_window,*,positive_prompt,replace,Rain on window,雨窗氛围,"保持输入场景的室内外结构一致，窗玻璃上的雨滴缓慢滑落，远处灯光在水痕中轻微变形，镜头固定，室内主体保持清晰稳定。","雨滴|窗玻璃|灯光倒影|镜头固定",121
